地域コード(文字列型),地域コード(数値型),地方,都道府県,地域,緯度,経度
545,545,中国,山口,山口中・東部,34.050,131.804
541,541,中国,山口,山口西部,33.957,130.941
550,550,四国,徳島,徳島北部,34.025,134.259
555,555,四国,徳島,徳島南部,33.734,134.535
560,560,四国,香川,香川,34.342,134.046
570,570,四国,愛媛,愛媛東予,33.919,133.181
575,575,四国,愛媛,愛媛中予,33.839,132.765
576,576,四国,愛媛,愛媛南予,33.362,132.510
580,580,四国,高知,高知東部,33.424,134.020
581,581,四国,高知,高知中部,33.559,133.529
582,582,四国,高知,高知西部,32.991,132.933
600,600,九州北,福岡,福岡福岡,33.590,130.401
601,601,九州北,福岡,福岡北九州,33.883,130.875
602,602,九州北,福岡,福岡筑豊,33.646,130.691
605,605,九州北,福岡,福岡筑後,33.319,130.508
610,610,九州北,佐賀,佐賀北部,33.450,129.968
615,615,九州北,佐賀,佐賀南部,33.181,130.143
620,620,九州北,長崎,長崎北部,33.179,129.715
625,625,九州北,長崎,長崎南部,32.843,130.053
630,630,九州北,長崎,長崎壱岐・対馬,34.202,129.287
635,635,九州北,長崎,長崎五島,32.695,128.840
640,640,九州北,熊本,熊本阿蘇,32.951,131.120
641,641,九州北,熊本,熊本熊本,32.803,130.707
645,645,九州北,熊本,熊本球磨,32.240,130.897
646,646,九州北,熊本,熊本天草・芦北,32.233,130.439
650,650,九州北,大分,大分北部,33.531,131.349
651,651,九州北,大分,大分中部,33.239,131.609
655,655,九州北,大分,大分西部,33.228,131.188
656,656,九州北,大分,大分南部,32.959,131.900
660,660,九州南,宮崎,宮崎北部平野部,32.422,131.624
661,661,九州南,宮崎,宮崎北部山沿い,32.467,131.158
665,665,九州南,宮崎,宮崎南部平野部,31.601,131.378
666,666,九州南,宮崎,宮崎南部山沿い,31.928,131.007
670,670,九州南,鹿児島,鹿児島薩摩,31.813,130.304
675,675,九州南,鹿児島,鹿児島大隅,31.378,130.852
680,680,九州南,鹿児島,種子島・屋久島,30.732,130.996
685,685,九州南,鹿児島,鹿児島奄美,28.377,129.493
700,700,沖縄,沖縄,沖縄本島北部,26.591,127.977
701,701,沖縄,沖縄,沖縄本島中南部,26.281,127.778
702,702,沖縄,沖縄,沖縄久米島,26.349,126.747
705,705,沖縄,沖縄,沖縄八重山,24.286,123.881
706,706,沖縄,沖縄,沖縄宮古島,24.805,125.281
710,710,沖縄,沖縄,沖縄大東島,25.828,131.232
